CustomerID,ProductID,AccountID
018d671e-53da-4ea1-9d5a-02ea93af5a0b,c1ab7166-f847-45e7-998c-f64397c5b3fa,0dad20eb-b230-4ca9-8afa-d58e38d187b8,6dd90ed6-fbee-46b5-91ee-ce3fc644ea57
84a52a2b-a7eb-490e-b272-6092a06a92e2,cadf1848-ae8f-4bf4-b60a-04c222029a25,3229550e-17cc-4ce8-b311-063a28e1b625,6d8c509c-350f-448e-8552-a1697ea8dd3a
d035d927-c32f-4b79-8456-3887d00cd88d,18a8e552-3e79-4f38-aabc-65f99551d567,5c43268e-e6aa-4676-b1ab-6ce9d7a5c69c,da74b609-497b-4a7c-9302-3fced738b7f0
174e40d4-2869-4755-931e-5772a646589c,2b3ce2fb-cc78-4542-9eda-85249f70e339,bf54c0d2-6fe8-4759-9816-1cbf2747c707,c4c0ebec-a15e-4533-8185-9485a83d61de
cd5b4cf0-6c80-4851-9850-2cc0f373c513,0879edf7-c108-42db-bd74-aa4e40b80ec1,71079eda-c4bf-47d3-af1a-04715d05ace7,5becd77d-023a-442a-bef3-e057ce1adf62
c80f7ce6-ae0c-4151-a70e-61cf311727cd,b55eeb16-c15c-4cdd-9c71-bb76a323d47f,fcd7cca9-0218-49ba-bd7d-a6985ce69cdd,642fff6b-eea2-429e-b140-9c6639898ff4
25d12063-1f5e-4e0e-b23d-18a1abcd53cd,3f4272b1-9e4b-4b6b-bc57-ab7bac242d00,a3c0c0f3-7131-488d-b4c3-828845591e43,edfeea39-cb19-4cdf-a4cc-08e1505dfe6a
b57515e2-9b86-415c-abfc-e8537515b35c,757e9814-9f10-481b-9fc8-d2e3d0dc0c32,41baf8a8-1fa7-4b5a-869b-7261ae4a24ff,48003ed9-89dc-419e-8eb1-a976d8b825f0
b8493ec5-9cf5-49ed-9611-30de4adce49f,c1ab7166-f847-45e7-998c-f64397c5b3fa,28d13a6c-9816-4ed5-88ec-d09fff4fe0d0,25c2fd00-8caf-4563-9c72-2d6ff7c626ba
2cfc54b8-a1ff-4945-8795-7e80ac8f00b4,46985e01-848e-46f4-bab0-93cc7be0ef6a,c8fb77cd-c1ed-4265-b5ef-10199b2b48f8,014c5dbc-341f-4e95-9ee5-ef62c4dd7d77
64c7fe12-47ae-46da-910d-0d8e77c21e74,46985e01-848e-46f4-bab0-93cc7be0ef6a,f9393524-33cb-4fa0-9189-12d3a7933c65,6b4896cd-0460-40a2-b300-f1334a08907a
